Code,Nom français,Nom latin
DRM,Dryoptère à sores marginaux,Dryopteris marginalis (Linnaeus) A. Gray
DRN,Thélyptère de new york,Parathelypteris noveboracensis (Linnaeus) Ching
DRO,Droséra,Drosera Linnaeus
DRP,Phégoptère du hêtre,Phegopteris connectilis (Michaux) Watt
DRS,Dryoptère spinuleuse,Dryopteris carhtusiana (Villars) H.P. Fuchs
DRT,Thépyptère des marais d'amérique,Thelypteris palustris var. pubescens (G. Lawson) Fernald
ECL,Concombre grimpant,Echinocystis lobata (Michaux) Torrey & A. Gray
EMA,Camarine noire-pourprée,Empetrum atropurpureum Fernald & Wiegand
EMN,Camarine noire,Empetrum nigrum Linnaeus
EPA,Épilobe à feuilles étroites,Chamaenerion angustifolium (Linnaeus) Scopoli subsp. angustifolium
EPB,Épinette blanche,Picea glauca (Moench) Voss
EPG,Épilobe glanduleux,Epilobium ciliatum subsp. glandulosum (Lehmann) Hoch & P.H. Raven
EPH,Épipactis petit-hellébore,Epipactis helleborine (Linnaeus) Crantz
EPI,Épigée rampante,Epigaea repens Linnaeus
EPN,Épinette noire,"Picea mariana (Miller) Britton, Sterns & Poggenburgh"
EPO,Épinette de norvège,Picea abies (Linnaeus) H. Karsten
EPP,Épilobe palustre,Epilobium palustre Linnaeus
EPR,Épinette rouge,Picea rubens Sargent
EPS,Épilobe dressé,Epilobium strictum Muhlenberg ex Sprengel
EPV,Épifage de virginie,Epifagus virginiana (Linnaeus) W.P.C. Barton
EQS,Prêle,Equisetum Linnaeus
EQY,Prêle des bois,Equisetum sylvaticum Linnaeus
ERA,Érable argenté,Acer saccharinum Linnaeus
ERC,Vergerette du canada,Erigeron canadensis Linnaeus
ERE,Érable à épis,Acer spicatum Lamarck
ERF,Érechtite à feuilles d'épervière,Erechtites hieraciifolius (Linnaeus) Rafinesque ex de Candolle
ERG,Érable à giguère,Acer negundo Linnaeus
ERH,Vélar fausse-giroflée,Erysimum cheiranthoides Linnaeus
ERI,Linaigrette,Eriophorum Linnaeus
ERN,Érable noir,Acer nigrum F. Michaux
ERO,Vergerette délicate,Erigeron pulchellus Michaux
ERP,Érable de pennsylvanie,Acer pensylvanicum Linnaeus
ERR,Érable rouge,Acer rubrum Linnaeus
ERS,Érable à sucre,Acer saccharum Marshall
ERT,Vergerette rude,Erigeron strigosus Muhlenberg ex Willdenow
ERU,Vergerette annuelle,Erigeron annuus (Linnaeus) Persoon
ERY,Érythrone d'amérique,Erythronium americanum Ker Gawler
EUM,Eupatoire maculée,Eutrochium maculatum (Linnaeus) E.E. Lamont
EUP,Eupatoire perfoliée,Eupatorium perfoliatum Linnaeus
EUR,Eupatoire rugueuse,Ageratina altissima (Linnaeus) R.M. King & H. Robinson var. altissima
EUS,Euphraise,Euphrasia Linnaeus
FEU_H,"Feuillus humides (ERA, FRP, FRN, ORA, ORR, CHG et CHE)",
FEU_R,"Feuillus riches (ERS, HEG,CHR,OSV, FRA, NOC, TIL,CET,CAC,CAR,CAF et CHG)",
FEU_S,"Feuillus (ERR, BOJ, FEU_R et FEU_H)",
FRA,Frêne blanc,Fraxinus americana Linnaeus
FRG,Fraisier,Fragaria Linnaeus
FRN,Frêne noir,Fraxinus nigra Marshall
FRP,Frêne rouge,Fraxinus pennsylvanica Marshall
GAA,Gaillet piquant,Galium asprellum Michaux
